pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
Kepler-946 b,Kepler-946,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.930,0.320,-0.200,0,4.38000,,,0,3.350000,,,0,857,,,0,89.940,,,0,,5665.00,263.42,-144.77,0,0.93,0.15,-0.09,0,0.94,0.08,-0.07,0,0.134,,,0,6.80177,79.43033,1137.2900000,29.8300000,-28.3700000
Kepler-947 b,Kepler-947,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.280,0.230,-0.230,0,5.82000,,,0,2.700000,,,0,573,,,0,89.990,,,0,,5508.00,133.16,-129.72,0,0.87,0.09,-0.07,0,0.90,0.05,-0.06,0,0.142,,,0,10.08954,75.48070,1730.7800000,99.2600000,-89.2200000
Kepler-948 b,Kepler-948,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,1.850,0.320,-0.410,0,4.08000,,,0,3.540000,,,0,841,,,0,88.680,,,0,,5679.00,174.93,-134.32,0,0.94,0.16,-0.08,0,0.96,0.07,-0.06,0,-0.109,,,0,10.45904,74.45145,868.0170000,15.0325000,-15.0325000
Kepler-949 b,Kepler-949,b,1,2,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,2.910,0.360,-0.230,0,8.80000,,,0,1.960000,,,0,782,,,0,89.940,,,0,,5403.00,200.90,-208.02,0,0.86,0.11,-0.07,0,0.89,0.06,-0.05,0,-0.442,,,0,9.44424,80.69553,486.1050000,5.3870000,-5.3870000
Kepler-949 c,Kepler-949,c,1,2,Transit,2023,2023-05,Kepler,0.95 m Kepler Telescope,2.970,0.610,-0.430,0,9.11000,,,0,1.910000,,,0,582,,,0,89.760,,,0,,5211.00,181.00,-163.00,0,0.90,0.19,-0.13,0,0.82,0.10,-0.06,0,-0.442,,,0,9.44424,80.69553,486.1050000,5.3870000,-5.3870000
Kepler-95 b,Kepler-95,b,1,1,Transit,2014,2014-02,Kepler,0.95 m Kepler Telescope,3.420,0.090,-0.090,0,13.00000,2.90000,-2.90000,0,1.710000,0.370000,-0.370000,0,927,,,0,90.000,,,0,,5699.00,74.00,-74.00,0,1.41,0.04,-0.04,0,1.08,0.08,-0.08,0,0.281,0.012,-0.022,0,17.51848,74.43259,445.6560000,5.7830000,-5.6400000
Kepler-950 b,Kepler-950,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,8.980,1.560,-0.830,0,59.60000,,,0,0.452000,,,0,360,,,0,89.680,,,0,,5857.00,115.89,-163.53,0,1.02,0.17,-0.09,0,1.02,0.07,-0.06,0,0.355,,,0,13.90881,72.31699,2161.6000000,199.4900000,-169.1900000
Kepler-951 b,Kepler-951,b,2,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,5.590,0.240,-0.260,0,26.70000,,,0,0.840000,,,0,340,,,0,89.960,,,0,,4834.00,86.05,-91.65,0,0.73,0.03,-0.03,0,0.77,0.04,-0.04,0,-0.642,,,0,12.82100,69.42083,382.5090000,3.4670000,-3.4060000
Kepler-952 b,Kepler-952,b,1,1,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,7.650,1.650,-0.750,0,45.40000,,,0,0.557000,,,0,369,,,0,89.700,,,0,,5730.00,87.45,-100.17,0,0.99,0.21,-0.08,0,1.00,0.06,-0.05,0,0.097,,,0,16.02646,72.35059,1304.2500000,42.8200000,-40.2300000
Kepler-953 b,Kepler-953,b,1,2,Transit,2016,2016-05,Kepler,0.95 m Kepler Telescope,4.210,0.370,-0.330,0,16.50000,,,0,1.220000,,,0,410,,,0,89.370,,,0,,5416.00,40.78,-45.57,0,0.99,0.09,-0.07,0,0.95,0.03,-0.03,0,-0.119,,,0,14.64718,75.92390,258.8930000,,
